id,judul_romaji,judul_english,format,status,episodes,durasi_menit,musim,tahun_rilis,skor_rata2,skor_mean,popularitas,favorit,trending,jumlah_genre,genre,sumber_adaptasi,studio_utama,negara_asal,tag_top5,users_current,users_planning,users_completed,users_dropped,users_paused,users_repeating,suara_10,suara_20,suara_30,suara_40,suara_50,suara_60,suara_70,suara_80,suara_90,suara_100,skor,penonton_aktif,completion_rate,drop_rate,planning_ratio,total_suara,pct_suara_90plus,log_popularitas,log_favorit,tahun_sejak_2000,era
1,Cowboy Bebop,Cowboy Bebop,TV,FINISHED,26,24,SPRING,1998,86.0,86.0,457666,32906,22,4,Action|Adventure|Drama|Sci-Fi,ORIGINAL,Sunrise,JP,Space|Crime|Episodic|Ensemble Cast|Primarily Adult Cast,40209,150339,229180,10597,27341,0,626,202,486,973,2627,5239,15734,34332,56401,53685,86.0,307327,0.7457203564932466,0.0441952314025115,0.3284906460169643,170305,0.6464049793018408,5.660548649895391,4.517288291202509,-2,Sebelum 2015
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,MOVIE,FINISHED,1,115,SUMMER,2001,82.0,82.0,83005,1779,1,4,Action|Drama|Mystery|Sci-Fi,ORIGINAL,bones,JP,Terrorism|Primarily Adult Cast|Philosophy|Crime|Martial Arts,1316,23371,57625,198,495,0,98,31,92,173,681,1581,5545,12278,12376,6306,82.0,59634,0.9663111647717745,0.0034242429483077666,0.28156135172579966,39161,0.47705625494752435,4.919104253906271,3.250420002308894,1,Sebelum 2015
6,TRIGUN,Trigun,TV,FINISHED,26,24,SPRING,1998,80.0,80.0,166785,7160,3,5,Action|Adventure|Comedy|Drama|Sci-Fi,MANGA,MADHOUSE,JP,Guns|Fugitive|Male Protagonist|Philosophy|Primarily Adult Cast,10496,66456,79229,3625,6979,0,193,74,292,455,1646,3135,9852,17044,15255,7972,80.0,100329,0.7896919136042421,0.04375165954570691,0.39845309830020686,55918,0.4153760864122465,5.222156989286369,3.854973673726417,-2,Sebelum 2015
7,Witch Hunter ROBIN,Witch Hunter ROBIN,TV,FINISHED,26,25,SUMMER,2002,68.0,69.0,23890,308,1,4,Action|Drama|Mystery|Supernatural,ORIGINAL,Sunrise,JP,Police|Female Protagonist|Magic|Urban Fantasy|Noir,1303,13543,7194,928,922,0,44,24,97,176,510,872,1397,1072,530,257,68.0,10347,0.6952739924615831,0.11425757202659444,0.5668899120971118,4979,0.15806386824663587,4.3782161497498775,2.4899584794248346,2,Sebelum 2015
8,Bouken Ou Beet,Beet the Vandel Buster,TV,FINISHED,52,23,FALL,2004,65.0,67.0,3144,45,0,3,Adventure|Fantasy|Supernatural,MANGA,Toei Animation,JP,Shounen|Spearplay|Swordplay,190,1318,1321,198,117,0,18,16,18,51,104,166,217,170,107,53,65.0,1826,0.7234392113910186,0.130348913759052,0.41921119592875317,920,0.17391304347826086,3.4974825373673704,1.662757831681574,4,Sebelum 2015
15,Eyeshield 21,Eyeshield 21,TV,FINISHED,145,23,SPRING,2005,76.0,76.0,33487,818,0,3,Action|Comedy|Sports,MANGA,Studio Gallop,JP,American Football|School Club|Male Protagonist|School|Shounen,2691,10751,15354,2150,2541,0,58,37,82,199,554,1013,2680,3304,2215,1209,76.0,22736,0.6753166783954961,0.1228290676416819,0.32104995968584826,11351,0.3016474319443221,4.524876242141101,2.9132839017604186,5,Sebelum 2015
16,Hachimitsu to Clover,Honey and Clover,TV,FINISHED,24,23,SPRING,2005,76.0,76.0,57963,1017,0,4,Comedy|Drama|Romance|Slice of Life,MANGA,J.C.STAFF,JP,Coming of Age|College|Male Protagonist|Urban|Primarily Adult Cast,2516,34691,15675,2434,2647,0,77,69,143,330,644,1063,2451,3453,2662,1534,76.0,23272,0.6735562048814026,0.13440830526257663,0.5985024929696531,12426,0.33767906003540965,4.7631508552278525,3.00774777800074,5,Sebelum 2015
17,Hungry Heart: Wild Striker,,TV,FINISHED,52,23,FALL,2002,72.0,72.0,4819,88,0,3,Comedy|Slice of Life|Sports,MANGA,Nippon Animation,JP,Football|Shounen|School Club|Primarily Male Cast|Primarily Teen Cast,238,1536,2621,234,190,0,15,13,27,46,123,263,525,438,286,175,72.0,3283,0.7983551629607066,0.0819614711033275,0.3187383274538286,1911,0.2412349555206698,3.6829569263012085,1.9493900066449128,2,Sebelum 2015
18,Initial D FOURTH STAGE,Initial D 4th Stage,TV,FINISHED,24,27,SPRING,2004,80.0,80.0,49380,1030,3,3,Action|Drama|Sports,MANGA,A.C.G.T.,JP,Cars|Rural|Seinen|CGI|Primarily Adult Cast,3487,8986,34740,625,1542,0,82,28,81,141,574,1265,3843,7222,5418,3386,80.0,40394,0.8600287171362083,0.017672840378905697,0.18197650870797893,22040,0.3994555353901996,4.693551085595914,3.0132586652835167,4,Sebelum 2015
19,MONSTER,Monster,TV,FINISHED,74,24,SPRING,2004,88.0,88.0,331543,24111,29,5,Drama|Horror|Mystery|Psychological|Thriller,MANGA,MADHOUSE,JP,Crime|Seinen|Detective|Philosophy|Ensemble Cast,43357,148538,107231,9008,23409,0,480,149,259,487,1206,2089,5691,12593,26940,34473,88.0,183005,0.5859457391874539,0.07749550495100611,0.44802031712326906,84367,0.7279267960221414,5.52053986291168,4.382233234970556,4,Sebelum 2015
20,NARUTO,Naruto,TV,FINISHED,220,23,FALL,2002,80.0,80.0,707583,41705,53,6,Action|Adventure|Comedy|Drama|Fantasy|Supernatural,MANGA,Studio Pierrot,JP,Ninja|Shounen|Coming of Age|Male Protagonist|Orphan,61070,45797,549202,26041,25473,0,2128,876,2057,3807,11591,23399,65301,100831,93277,78459,80.0,661786,0.8298785407971762,0.04526956434063518,0.06472314908639692,381726,0.449893379020554,5.849777390242657,4.620198538893281,2,Sebelum 2015
22,Tennis no Ouji-sama,The Prince of Tennis,TV,FINISHED,178,22,FALL,2001,75.0,75.0,35650,781,0,3,Action|Comedy|Sports,MANGA,Production I.G,JP,Tennis|Male Protagonist|Primarily Male Cast|School Club|Shounen,3293,12433,15030,2258,2636,0,74,39,94,190,581,1084,2500,2880,1725,1182,75.0,23217,0.6473704612999095,0.1306108283202221,0.34875175315568024,10349,0.2808967049956518,4.552059534187884,2.893206753059848,1,Sebelum 2015
23,Ring ni Kakero 1,,TV,FINISHED,12,25,FALL,2004,60.0,63.0,1687,24,0,2,Action|Sports,MANGA,Toei Animation,JP,Boxing|Super Power|Male Protagonist|Martial Arts|Cultivation,94,906,564,85,38,0,17,7,13,35,62,64,61,65,38,29,60.0,781,0.7221510883482715,0.13097072419106318,0.5370480142264374,391,0.17135549872122763,3.2271150825891253,1.3979400086720377,4,Sebelum 2015
24,School Rumble,School Rumble,TV,FINISHED,26,23,FALL,2004,76.0,76.0,58578,1276,1,3,Comedy|Romance|Slice of Life,MANGA,Studio Comet,JP,Ensemble Cast|Love Triangle|School|Delinquents|Primarily Teen Cast,2569,25238,26148,2355,2268,0,111,64,171,313,934,1746,4191,5510,3528,1970,76.0,33340,0.7842831433713258,0.08262288180191558,0.43084434429307933,18538,0.2965799978422699,4.767734539694649,3.1061908972634154,4,Sebelum 2015
25,Sunabouzu,Desert Punk,TV,FINISHED,24,24,FALL,2004,69.0,69.0,29417,414,0,5,Action|Adventure|Comedy|Ecchi|Sci-Fi,MANGA,GONZO,JP,Post-Apocalyptic|Slapstick|Anti-Hero|Guns|Survival,1517,15217,9758,1693,1232,0,99,74,159,283,607,1045,1892,1555,820,425,69.0,14200,0.6871830985915492,0.1478473495764562,0.5172859231056872,6959,0.17890501508837478,4.468598380496247,2.6180480967120925,4,Sebelum 2015
26,TEXHNOLYZE,Texhnolyze,TV,FINISHED,22,23,SPRING,2003,77.0,77.0,83460,3117,1,4,Action|Drama|Psychological|Sci-Fi,ORIGINAL,MADHOUSE,JP,Dystopian|Cyberpunk|Philosophy|Noir|Primarily Adult Cast,4570,56597,16930,2276,3087,0,208,144,266,396,656,1064,2325,3087,3222,2637,77.0,26863,0.6302348955812828,0.1185046339685515,0.6781332374790319,14005,0.41835058907533024,4.92147838037569,3.4938761108528227,3,Sebelum 2015
27,Trinity Blood,Trinity Blood,TV,FINISHED,24,24,SPRING,2005,68.0,68.0,29409,1601,0,5,Action|Drama|Horror|Sci-Fi|Supernatural,LIGHT_NOVEL,GONZO,JP,Vampire|Nun|Male Protagonist|Gore|Guns,1622,13950,11444,1277,1116,0,78,70,197,348,786,1292,2133,1468,744,505,68.0,15459,0.7402807426094832,0.10038518984356576,0.4743445883913088,7621,0.16388925337882168,4.468480257357613,3.204662511748219,5,Sebelum 2015
28,Yakitate!! Japan,,TV,FINISHED,69,24,FALL,2004,75.0,76.0,19822,359,0,1,Comedy,MANGA,Sunrise,JP,Food|Meta|Surreal Comedy|Parody|Shounen,1289,9182,7363,877,1111,0,27,8,40,76,287,521,1270,1517,1005,563,75.0,10640,0.6920112781954887,0.10643203883495146,0.4632226818686308,5314,0.2950696273993225,4.297147471801269,2.5563025007672873,4,Sebelum 2015
29,Zipang,,TV,FINISHED,26,24,FALL,2004,72.0,73.0,6479,73,0,2,Action|Sci-Fi,MANGA,Studio DEEN,JP,Military|Primarily Adult Cast|Ships|Seinen|Historical,299,3684,2073,218,205,0,20,7,19,31,94,167,445,445,243,96,72.0,2795,0.7416815742397138,0.09515495416848538,0.5686062663991357,1567,0.21633694958519464,3.811507979945327,1.8692317197309762,4,Sebelum 2015
30,Shin Seiki Evangelion,Neon Genesis Evangelion,TV,FINISHED,26,24,FALL,1995,83.0,83.0,481446,43243,22,6,Action|Drama|Mecha|Mystery|Psychological|Sci-Fi,ORIGINAL,Gainax,JP,Philosophy|Coming of Age|Super Robot|Dystopian|Post-Apocalyptic,33418,105795,318134,8271,15828,0,1408,737,1589,2678,5480,10228,25779,48503,66974,62604,83.0,375651,0.8468871372630447,0.025339685360212007,0.2197442703854638,225980,0.5734047260819541,5.682547582805972,4.635925858675862,-5,Sebelum 2015
31,Shin Seiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,MOVIE,FINISHED,1,104,WINTER,1997,73.0,73.0,60619,739,3,4,Drama|Mecha|Psychological|Sci-Fi,ORIGINAL,Gainax,JP,Primarily Teen Cast|Achronological Order|Dystopian|Super Robot|Military,992,13207,45725,375,320,0,238,160,377,688,1878,3184,6813,6116,4125,3250,73.0,47412,0.9644182907280857,0.008134490238611713,0.21786898497170853,26829,0.27488911252748893,4.782608767761329,2.8692317197309762,-3,Sebelum 2015
32,"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,MOVIE,FINISHED,1,87,SUMMER,1997,85.0,85.0,246801,19391,7,5,Action|Drama|Mecha|Psychological|Sci-Fi,ORIGINAL,Gainax,JP,Philosophy|Coming of Age|Post-Apocalyptic|Denpa|Dystopian,3426,34950,207136,561,728,0,855,474,840,1380,2820,5122,12939,25731,41746,50759,85.0,211851,0.9777437916271342,0.0027010500873869145,0.14161206802241483,142666,0.6484025626287974,5.392346915059754,4.287622602486192,-3,Sebelum 2015
33,Kenpuu Denki Berserk,Berserk,TV,FINISHED,25,25,FALL,1997,84.0,84.0,178844,11537,9,6,Action|Adventure|Drama|Fantasy|Horror|Supernatural,MANGA,OLM,JP,Seinen|Swordplay|War|Male Protagonist|Gore,11996,60759,97497,3248,5344,0,369,120,248,445,1104,2206,7258,16204,22487,17454,84.0,118085,0.8256510141000127,0.03223981339024269,0.3397318333296057,67895,0.5882760144340525,5.252474374674526,4.062130534622123,-3,Sebelum 2015
43,GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,MOVIE,FINISHED,1,83,FALL,1995,80.0,80.0,171186,7171,7,3,Action|Psychological|Sci-Fi,MANGA,Production I.G,JP,Cyberpunk|Artificial Intelligence|Philosophy|Urban|Robots,3368,65533,100755,568,962,0,240,130,374,655,2001,4119,11058,19682,18690,11059,80.0,105653,0.9536406916982954,0.005605834805522932,0.38281752012430925,68008,0.4374338313139631,5.233468244153264,3.855640280890145,-5,Sebelum 2015
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Rurouni Kenshin OVA: Trust & Betrayal (Tsuioku-hen),OVA,FINISHED,4,30,WINTER,1999,85.0,85.0,46716,2217,0,3,Action|Drama|Romance,MANGA,Studio DEEN,JP,Samurai|Tragedy|Historical|Philosophy|Male Protagonist,1009,18454,26470,332,451,0,73,24,54,88,319,599,1904,4138,5698,4979,85.0,28262,0.9365933054985492,0.012387135288411313,0.3950252590119017,17876,0.5972812709778474,4.669465649765787,3.3459615418131414,-1,Sebelum 2015
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,TV,FINISHED,94,25,WINTER,1996,79.0,79.0,88711,2693,1,5,Action|Adventure|Comedy|Drama|Romance,MANGA,Studio Gallop,JP,Swordplay|Martial Arts|Samurai|Historical|Heterosexual,6299,34298,38264,4027,5823,0,115,60,131,266,902,1762,5115,8357,6611,3797,79.0,54413,0.7032143054049583,0.09522120545742593,0.3866262357543033,27116,0.383832423661307,4.9479774748836345,3.4303975913869666,-4,Sebelum 2015
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem,Rurouni Kenshin The Movie,MOVIE,FINISHED,1,91,FALL,1997,71.0,72.0,9068,65,0,2,Action|Drama,MANGA,Studio Gallop,JP,Swordplay|Historical|Samurai|Shounen|Male Protagonist,224,2598,6088,83,75,0,26,24,42,87,270,541,1024,789,403,344,71.0,6470,0.9409582689335394,0.013450008102414519,0.2865019850022056,3550,0.2104225352112676,3.95751151145448,1.8195439355418688,-3,Sebelum 2015
47,AKIRA,Akira,MOVIE,FINISHED,1,125,SUMMER,1988,79.0,79.0,225905,8959,5,6,Action|Adventure|Horror|Psychological|Sci-Fi|Supernatural,MANGA,Tokyo Movie Shinsha,JP,Cyberpunk|Post-Apocalyptic|Dystopian|Super Power|Urban,3654,66047,153959,934,1311,0,534,387,948,1546,3892,7442,17452,29466,27556,17352,79.0,159858,0.9630984999186778,0.006029969075426262,0.2923662601536044,106575,0.42137461881304245,5.353925843352317,3.9523080096621253,-12,Sebelum 2015
48,.hack//SIGN,.hack//SIGN,TV,FINISHED,26,24,SPRING,2002,66.0,66.0,35106,656,0,4,Adventure|Fantasy|Mystery|Sci-Fi,ORIGINAL,Bee Train,JP,Virtual World|Video Games|Anti-Hero|Amnesia|Magic,1885,13516,15871,2307,1527,0,187,167,350,651,1353,2034,2897,1963,1222,671,66.0,21590,0.7351088466882816,0.12691165144680383,0.3850054121802541,11495,0.16468029578077426,4.545381348494362,2.8175653695597807,2,Sebelum 2015
49,Aa! Megami-sama!,Oh! My Goddess,OVA,FINISHED,5,30,WINTER,1993,69.0,70.0,11906,152,1,4,Comedy|Drama|Romance|Supernatural,MANGA,AIC,JP,Gods|Heterosexual|Urban Fantasy|Primarily Female Cast|Cohabitation,408,4868,6207,235,188,0,21,11,63,114,368,688,1123,743,427,277,69.0,7038,0.881926683716965,0.03647935423781434,0.4088694775743323,3835,0.18357235984354628,4.075765878215734,2.184691430817599,-7,Sebelum 2015
50,Aa! Megami-sama! (TV),Oh! My Goddess (TV),TV,FINISHED,24,24,WINTER,2005,70.0,70.0,25564,327,0,3,Comedy|Romance|Supernatural,MANGA,AIC,JP,Magic|Primarily Female Cast|Male Protagonist|Gods|Seinen,1359,9285,12563,1257,1100,0,60,55,139,311,773,1410,2553,1905,971,566,70.0,16279,0.7717304502733583,0.09095513748191028,0.3632060710373963,8743,0.17579778108200847,4.4076288088765185,2.515873843711679,5,Sebelum 2015
51,Tenshi Kinryouku,Angel Sanctuary,OVA,FINISHED,3,30,SPRING,2000,56.0,56.0,7550,53,0,4,Action|Drama|Romance|Supernatural,MANGA,Hal Film Maker,JP,Shoujo|Angels|Mythology|Heterosexual|Religion,192,2860,4177,207,114,0,113,149,230,302,479,550,495,206,130,185,56.0,4690,0.8906183368869937,0.047217153284671534,0.37880794701986753,2839,0.11095456146530469,3.8779469516291885,1.7323937598229686,0,Sebelum 2015
52,Kidou Tenshi Angelic Layer,Angelic Layer,TV,FINISHED,26,24,SPRING,2001,70.0,70.0,11427,188,0,4,Comedy|Drama|Sci-Fi|Sports,MANGA,bones,JP,Robots|Female Protagonist|Real Robot|Shounen|Primarily Female Cast,434,4851,5241,466,435,0,20,15,52,108,351,567,1080,725,432,242,70.0,6576,0.7969890510948905,0.08165410898896093,0.42452087161984775,3592,0.1876391982182628,4.057932227380609,2.2764618041732443,1,Sebelum 2015
53,Ai Yori Aoshi,Ai Yori Aoshi,TV,FINISHED,24,23,SPRING,2002,67.0,67.0,17998,153,0,4,Comedy|Drama|Romance|Slice of Life,MANGA,J.C.STAFF,JP,Female Harem|Seinen|Male Protagonist|Heterosexual|Primarily Adult Cast,935,6626,8658,1037,742,0,59,48,159,304,721,1126,1782,1133,550,358,67.0,11372,0.7613436510728104,0.1069623517276947,0.36815201689076565,6240,0.14551282051282052,4.255224247479844,2.187520720836463,2,Sebelum 2015
54,Appleseed (Movie),Appleseed (Movie),MOVIE,FINISHED,1,105,SPRING,2004,65.0,65.0,11199,96,0,4,Action|Drama|Mecha|Sci-Fi,MANGA,Digital Frontier,JP,Military|Artificial Intelligence|Urban|Tomboy|CGI,214,3606,7170,118,91,0,47,54,129,252,544,875,1394,857,339,145,65.0,7593,0.9442907941525089,0.01619099890230516,0.32199303509241894,4636,0.10440034512510785,4.049179244645967,1.9867717342662448,4,Sebelum 2015
55,Arc the Lad,Arc the Lad,TV,FINISHED,26,22,SPRING,1999,61.0,62.0,3192,23,0,5,Action|Adventure|Fantasy|Horror|Sci-Fi,VIDEO_GAME,Bee Train,JP,Revenge|Military|Male Protagonist|Magic|Body Horror,148,1516,1234,183,111,0,14,14,38,53,138,179,185,130,61,15,61.0,1676,0.7362768496420048,0.12914608327452365,0.474937343358396,827,0.09189842805320435,3.5040628826786917,1.380211241711606,-1,Sebelum 2015
56,Avenger,,TV,FINISHED,13,24,FALL,2003,55.0,56.0,3660,33,0,3,Adventure|Fantasy|Sci-Fi,ORIGINAL,Bee Train,JP,Female Protagonist|Revenge|Robots|Kuudere,181,1706,1411,232,130,0,34,57,69,119,192,171,166,102,54,41,55.0,1954,0.7221084953940634,0.14120511259890445,0.46612021857923497,1005,0.0945273631840796,3.5634810853944106,1.5314789170422551,3,Sebelum 2015
57,BECK,Beck: Mongolian Chop Squad,TV,FINISHED,26,25,FALL,2004,80.0,80.0,80838,2985,1,4,Comedy|Drama|Music|Slice of Life,MANGA,MADHOUSE,JP,Band|Coming of Age|Urban|Rock Music|Male Protagonist,4086,43547,28183,2009,3013,0,96,47,136,263,696,1297,3331,5942,5969,3708,80.0,37291,0.7557587621678153,0.06654080551139374,0.5386946732972117,21485,0.4504072608796835,4.907615560166021,3.4750898033890065,4,Sebelum 2015
58,BLUE GENDER,Blue Gender,TV,FINISHED,26,23,FALL,1999,66.0,66.0,16867,187,0,7,Adventure|Drama|Horror|Mecha|Psychological|Romance|Sci-Fi,ORIGINAL,AIC,JP,Survival|Military|Dystopian|Kuudere|Post-Apocalyptic,747,9704,5273,661,482,0,61,57,98,198,421,689,1109,700,353,185,66.0,7163,0.7361440737121318,0.11139197842938996,0.5753245983280962,3871,0.13898217514854042,4.2270378449302255,2.27415784926368,-1,Sebelum 2015
59,Chobits,Chobits,TV,FINISHED,26,24,SPRING,2002,71.0,71.0,89541,2075,2,5,Comedy|Drama|Ecchi|Romance|Sci-Fi,MANGA,MADHOUSE,JP,Artificial Intelligence|Amnesia|Robots|Seinen|Heterosexual,4328,31366,46564,3945,3338,0,260,255,573,1006,2521,4493,8320,7140,4371,2314,71.0,58175,0.8004125483455092,0.07810489219743016,0.35029762901910855,31253,0.21389946565129747,4.952021940304929,3.31722734917642,2,Sebelum 2015
60,Chrno Crusade,Chrono Crusade,TV,FINISHED,24,23,FALL,2003,71.0,71.0,33515,440,0,3,Action|Romance|Supernatural,MANGA,GONZO,JP,Demons|Historical|Nun|Female Protagonist|Foreign,1410,14227,14926,1535,1417,0,94,69,158,352,820,1494,2749,2485,1311,827,71.0,19288,0.7738490253007051,0.0932507138083956,0.4244964941071162,10359,0.20639057824114296,4.525239223729745,2.6444385894678386,3,Sebelum 2015
61,D.N.Angel,D.N.Angel,TV,FINISHED,26,23,SPRING,2003,66.0,66.0,22912,296,0,4,Action|Comedy|Fantasy|Romance,MANGA,Xebec,JP,Magic|Dissociative Identities|Male Protagonist|Shoujo|School,712,6100,14058,1299,743,0,98,100,247,483,1070,1748,2385,1536,816,543,66.0,16812,0.8361884368308351,0.08458683336589178,0.26623603351955305,9026,0.15056503434522492,4.360063000627761,2.4727564493172123,3,Sebelum 2015
62,D.C.: Da Capo,D.C.~Da Capo~,TV,FINISHED,26,24,SUMMER,2003,62.0,63.0,13464,85,0,2,Drama|Romance,VISUAL_NOVEL,ZEXCS,JP,Female Harem|Male Protagonist|Primarily Female Cast|Tsundere|School,582,5703,5927,736,516,0,87,73,172,316,625,815,1018,546,317,190,62.0,7761,0.7636902461023064,0.1104607534143779,0.4235739750445633,4159,0.12190430391921135,4.1291741029677675,1.9344984512435677,3,Sebelum 2015
63,DearS,DearS,TV,FINISHED,12,23,SUMMER,2004,60.0,60.0,24270,232,0,4,Comedy|Ecchi|Romance|Sci-Fi,MANGA,Daume,JP,Aliens|Slavery|Female Harem|Shounen|Male Protagonist,902,6970,14801,1053,544,0,224,244,506,806,1447,2039,2161,1036,547,352,60.0,17300,0.8555491329479769,0.06641856944619655,0.2871858261227853,9362,0.09602649006622517,4.385069776331934,2.367355921026019,4,Sebelum 2015
64,Rozen Maiden,Rozen Maiden,TV,FINISHED,12,24,FALL,2004,70.0,70.0,38903,694,0,4,Action|Comedy|Drama|Supernatural,MANGA,Nomad,JP,Seinen|Ojou-sama|Magic|Urban Fantasy|Primarily Female Cast,1485,15174,19851,1330,1063,0,88,87,207,425,1122,1957,3793,3021,1648,817,70.0,23729,0.8365712840827679,0.06279212501770455,0.3900470400740303,13165,0.18723889099886062,4.589983093181969,2.8419848045901137,4,Sebelum 2015
